entry,hostname,delta,error,lastcall
1,xen-vm1,0.019893056,0.000106944,0.019893056
1,xen-vm1,0.019998158,0.000001842,0.039891214
1,xen-vm1,0.020000212,0.000000212,0.059891426
1,xen-vm1,0.019996148,0.000003852,0.079887574
1,xen-vm1,0.020002337,0.000002337,0.099889911
1,xen-vm1,0.020001616,0.000001616,0.119891527
1,xen-vm1,0.019989106,0.000010894,0.139880633
1,xen-vm1,0.020002741,0.000002741,0.159883374
1,xen-vm1,0.019995987,0.000004013,0.179879361
1,xen-vm1,0.019998844,0.000001156,0.199878205
1,xen-vm1,0.020024274,0.000024274,0.219902479
1,xen-vm1,0.020018524,0.000018524,0.239921003
1,xen-vm1,0.019968433,0.000031567,0.259889436
1,xen-vm1,0.020007735,0.000007735,0.279897171
1,xen-vm1,0.020003906,0.000003906,0.299901077
1,xen-vm1,0.020003849,0.000003849,0.319904926
1,xen-vm1,0.020001084,0.000001084,0.339906010
1,xen-vm1,0.020001485,0.000001485,0.359907495
1,xen-vm1,0.019999280,0.000000720,0.379906775
1,xen-vm1,0.019999129,0.000000871,0.399905904
1,xen-vm1,0.020001694,0.000001694,0.419907598
1,xen-vm1,0.019998182,0.000001818,0.439905780
1,xen-vm1,0.020001205,0.000001205,0.459906985
1,xen-vm1,0.020000249,0.000000249,0.479907234
1,xen-vm1,0.020000516,0.000000516,0.499907750
1,xen-vm1,0.019999824,0.000000176,0.519907574
1,xen-vm1,0.020000879,0.000000879,0.539908453
1,xen-vm1,0.020000448,0.000000448,0.559908901
1,xen-vm1,0.020000024,0.000000024,0.579908925
1,xen-vm1,0.019998047,0.000001953,0.599906972
1,xen-vm1,0.020001669,0.000001669,0.619908641
1,xen-vm1,0.019999408,0.000000592,0.639908049
1,xen-vm1,0.019996851,0.000003149,0.659904900
1,xen-vm1,0.020004001,0.000004001,0.679908901
1,xen-vm1,0.019998904,0.000001096,0.699907805
1,xen-vm1,0.020001042,0.000001042,0.719908847
1,xen-vm1,0.019998418,0.000001582,0.739907265
1,xen-vm1,0.020001581,0.000001581,0.759908846
1,xen-vm1,0.019999731,0.000000269,0.779908577
1,xen-vm1,0.019997879,0.000002121,0.799906456
1,xen-vm1,0.020002069,0.000002069,0.819908525
1,xen-vm1,0.019998664,0.000001336,0.839907189
1,xen-vm1,0.019998458,0.000001542,0.859905647
