entry,hostname,delta,error,lastcall
1,xen-vm1,0.039882149,0.000117851,0.019904258
2,xen-vm2,0.039878834,0.000121166,0.039878834
1,xen-vm1,0.039999290,0.000000710,0.059903548
2,xen-vm2,0.040004582,0.000004582,0.079883416
1,xen-vm1,0.039992593,0.000007407,0.099896141
2,xen-vm2,0.040000469,0.000000469,0.119883885
1,xen-vm1,0.039996134,0.000003866,0.139892275
2,xen-vm2,0.040001520,0.000001520,0.159885405
1,xen-vm1,0.040007170,0.000007170,0.179899445
2,xen-vm2,0.039983133,0.000016867,0.199868538
1,xen-vm1,0.039999270,0.000000730,0.219898715
2,xen-vm2,0.040031433,0.000031433,0.239899971
1,xen-vm1,0.039985610,0.000014390,0.259884325
2,xen-vm2,0.040011136,0.000011136,0.279911107
1,xen-vm1,0.040021471,0.000021471,0.299905796
2,xen-vm2,0.040020873,0.000020873,0.319931980
1,xen-vm1,0.040024057,0.000024057,0.339929853
2,xen-vm2,0.039975078,0.000024922,0.359907058
1,xen-vm1,0.040008834,0.000008834,0.379938687
2,xen-vm2,0.040042267,0.000042267,0.399949325
1,xen-vm1,0.040020226,0.000020226,0.419958913
2,xen-vm2,0.040021503,0.000021503,0.439970828
1,xen-vm1,0.040020136,0.000020136,0.459979049
2,xen-vm2,0.040029892,0.000029892,0.480000720
1,xen-vm1,0.039906599,0.000093401,0.499885648
2,xen-vm2,0.039909418,0.000090582,0.519910138
1,xen-vm1,0.040021559,0.000021559,0.539907207
2,xen-vm2,0.039994546,0.000005454,0.559904684
1,xen-vm1,0.040028281,0.000028281,0.579935488
2,xen-vm2,0.040039132,0.000039132,0.599943816
1,xen-vm1,0.040021006,0.000021006,0.619956494
2,xen-vm2,0.040026927,0.000026927,0.639970743
1,xen-vm1,0.040019296,0.000019296,0.659975790
2,xen-vm2,0.040022257,0.000022257,0.679993000
1,xen-vm1,0.040021316,0.000021316,0.699997106
2,xen-vm2,0.040020741,0.000020741,0.720013741
1,xen-vm1,0.040017176,0.000017176,0.740014282
2,xen-vm2,0.040022937,0.000022937,0.760036678
1,xen-vm1,0.040029764,0.000029764,0.780044046
2,xen-vm2,0.040032986,0.000032986,0.800069664
1,xen-vm1,0.040018424,0.000018424,0.820062470
2,xen-vm2,0.040012508,0.000012508,0.840082172
1,xen-vm1,0.040017658,0.000017658,0.860080128
2,xen-vm2,0.040020082,0.000020082,0.880102254
1,xen-vm1,0.040019554,0.000019554,0.900099682
2,xen-vm2,0.040017824,0.000017824,0.920120078
1,xen-vm1,0.040018359,0.000018359,0.940118041
2,xen-vm2,0.040018954,0.000018954,0.960139032
1,xen-vm1,0.040024856,0.000024856,0.980142897
