entry,hostname,delta,error,lastcall
1,xen-vm1,0.499914316,0.000085684,0.199899517
2,xen-vm2,0.499920759,0.000079241,0.100029635
3,xen-vm3,0.499915741,0.000084259,0.099987530
4,xen-vm4,0.500043739,0.000043739,0.100127057
1,xen-vm1,0.499992925,0.000007075,0.199848703
2,xen-vm2,0.499995957,0.000004043,0.100032667
3,xen-vm3,0.499992273,0.000007727,0.099983846
4,xen-vm4,0.500168346,0.000168346,0.100303130
1,xen-vm1,0.499999382,0.000000618,0.199679739
2,xen-vm2,0.500005411,0.000005411,0.100038696
3,xen-vm3,0.499998356,0.000001644,0.099976791
4,xen-vm4,0.500136162,0.000136162,0.100440936
1,xen-vm1,0.499999788,0.000000212,0.199543365
2,xen-vm2,0.499995441,0.000004559,0.100034349
3,xen-vm3,0.499991832,0.000008168,0.099973182
4,xen-vm4,0.500118955,0.000118955,0.100568059
1,xen-vm1,0.499999196,0.000000804,0.199423606
2,xen-vm2,0.500001499,0.000001499,0.100036652
3,xen-vm3,0.499995696,0.000004304,0.099967379
4,xen-vm4,0.500133731,0.000133731,0.100706094
1,xen-vm1,0.499982564,0.000017436,0.199272439
2,xen-vm2,0.499982311,0.000017689,0.100036399
3,xen-vm3,0.499996601,0.000003399,0.099981669
4,xen-vm4,0.500137447,0.000137447,0.100846940
1,xen-vm1,0.500020400,0.000020400,0.199155392
2,xen-vm2,0.500001752,0.000001752,0.100017751
3,xen-vm3,0.500021569,0.000021569,0.100001486
4,xen-vm4,0.500133204,0.000133204,0.100958575
1,xen-vm1,0.500010566,0.000010566,0.199032754
2,xen-vm2,0.500013585,0.000013585,0.100020770
3,xen-vm3,0.500012500,0.000012500,0.100000401
4,xen-vm4,0.500136592,0.000136592,0.101082667
1,xen-vm1,0.500031885,0.000031885,0.198928047
2,xen-vm2,0.500015130,0.000015130,0.100004015
3,xen-vm3,0.500015804,0.000015804,0.100001075
4,xen-vm4,0.500130216,0.000130216,0.101197079
1,xen-vm1,0.500015178,0.000015178,0.198813009
2,xen-vm2,0.500031869,0.000031869,0.100020706
3,xen-vm3,0.499952119,0.000047881,0.099921325
4,xen-vm4,0.500127009,0.000127009,0.101371969
1,xen-vm1,0.499934580,0.000065420,0.198620580
2,xen-vm2,0.500020225,0.000020225,0.100106351
3,xen-vm3,0.500012301,0.000012301,0.099913401
4,xen-vm4,0.500135408,0.000135408,0.101495076
1,xen-vm1,0.500026534,0.000026534,0.198511706
2,xen-vm2,0.500016541,0.000016541,0.100096358
3,xen-vm3,0.500019961,0.000019961,0.099916821
4,xen-vm4,0.500129394,0.000129394,0.101604509
1,xen-vm1,0.499997033,0.000002967,0.198379345
2,xen-vm2,0.499924671,0.000075329,0.100023996
3,xen-vm3,0.500011860,0.000011860,0.100004010
4,xen-vm4,0.500125766,0.000125766,0.101718415
1,xen-vm1,0.500035852,0.000035852,0.198289431
2,xen-vm2,0.500027568,0.000027568,0.100015712
3,xen-vm3,0.500023075,0.000023075,0.099999517
4,xen-vm4,0.500125657,0.000125657,0.101820997
1,xen-vm1,0.500001993,0.000001993,0.198165767
2,xen-vm2,0.500004753,0.000004753,0.100018472
3,xen-vm3,0.500012987,0.000012987,0.100007751
4,xen-vm4,0.500128495,0.000128495,0.101936505
1,xen-vm1,0.500038618,0.000038618,0.198075890
2,xen-vm2,0.500030987,0.000030987,0.100010841
3,xen-vm3,0.500027685,0.000027685,0.100004449
4,xen-vm4,0.500125160,0.000125160,0.102033980
1,xen-vm1,0.500007381,0.000007381,0.197958111
2,xen-vm2,0.500012811,0.000012811,0.100016271
3,xen-vm3,0.500012945,0.000012945,0.100004583
4,xen-vm4,0.500137364,0.000137364,0.102158399
1,xen-vm1,0.500043964,0.000043964,0.197864711
2,xen-vm2,0.500039181,0.000039181,0.100011488
3,xen-vm3,0.500033983,0.000033983,0.099999385
4,xen-vm4,0.500126049,0.000126049,0.102250465
1,xen-vm1,0.500000917,0.000000917,0.197739579
2,xen-vm2,0.500003865,0.000003865,0.100014436
3,xen-vm3,0.500008957,0.000008957,0.100004477
4,xen-vm4,0.500123301,0.000123301,0.102364809
1,xen-vm1,0.500033645,0.000033645,0.197649923
2,xen-vm2,0.500030439,0.000030439,0.100011230
3,xen-vm3,0.500030206,0.000030206,0.100004244
4,xen-vm4,0.500120855,0.000120855,0.102455458
1,xen-vm1,0.500005682,0.000005682,0.197534750
2,xen-vm2,0.500006392,0.000006392,0.100011940
3,xen-vm3,0.500010104,0.000010104,0.100007956
4,xen-vm4,0.500122129,0.000122129,0.102567483
1,xen-vm1,0.500036340,0.000036340,0.197448961
2,xen-vm2,0.500034919,0.000034919,0.100010519
3,xen-vm3,0.500027765,0.000027765,0.100000802
4,xen-vm4,0.500117565,0.000117565,0.102657283
1,xen-vm1,0.500003442,0.000003442,0.197334838
2,xen-vm2,0.500006998,0.000006998,0.100014075
3,xen-vm3,0.500011976,0.000011976,0.100005780
4,xen-vm4,0.500120880,0.000120880,0.102766187
1,xen-vm1,0.500042984,0.000042984,0.197256942
2,xen-vm2,0.500034963,0.000034963,0.100006054
3,xen-vm3,0.500038588,0.000038588,0.100009405
4,xen-vm4,0.500120479,0.000120479,0.102848078
1,xen-vm1,0.500009300,0.000009300,0.197145763
2,xen-vm2,0.500014151,0.000014151,0.100010905
3,xen-vm3,0.500008287,0.000008287,0.100003541
4,xen-vm4,0.500119906,0.000119906,0.102959697
1,xen-vm1,0.500055906,0.000055906,0.197081763
2,xen-vm2,0.500058189,0.000058189,0.100013188
3,xen-vm3,0.500051662,0.000051662,0.099997014
4,xen-vm4,0.500113512,0.000113512,0.103021547
1,xen-vm1,0.499992670,0.000007330,0.196960921
