entry,hostname,delta,error,lastcall
1,xen-vm1,0.049924090,0.000075910,0.019967841
2,xen-vm2,0.049973509,0.000026491,0.009975073
3,xen-vm3,0.049924821,0.000075179,0.009878905
4,xen-vm4,0.049884444,0.000115556,0.010062625
1,xen-vm1,0.050170423,0.000170423,0.020253820
2,xen-vm2,0.049992803,0.000007197,0.009797453
3,xen-vm3,0.050025655,0.000025655,0.009911757
4,xen-vm4,0.050067726,0.000067726,0.010104696
1,xen-vm1,0.049999604,0.000000396,0.020185698
2,xen-vm2,0.050094979,0.000094979,0.009892828
3,xen-vm3,0.049965089,0.000034911,0.009781867
4,xen-vm4,0.049946296,0.000053704,0.010085903
1,xen-vm1,0.049975012,0.000024988,0.020214414
2,xen-vm2,0.049994036,0.000005964,0.009911852
3,xen-vm3,0.050024266,0.000024266,0.009812097
4,xen-vm4,0.050150136,0.000150136,0.010211773
1,xen-vm1,0.050073159,0.000073159,0.020137437
2,xen-vm2,0.050089195,0.000089195,0.009927888
3,xen-vm3,0.050206355,0.000206355,0.009929257
4,xen-vm4,0.050085256,0.000085256,0.010090674
1,xen-vm1,0.049976390,0.000023610,0.020028571
2,xen-vm2,0.049948687,0.000051313,0.009900185
3,xen-vm3,0.049881011,0.000118989,0.009861581
4,xen-vm4,0.049981999,0.000018001,0.010191662
1,xen-vm1,0.049988138,0.000011862,0.020034710
2,xen-vm2,0.050068363,0.000068363,0.009980410
3,xen-vm3,0.050133718,0.000133718,0.009926936
4,xen-vm4,0.050039827,0.000039827,0.010097771
1,xen-vm1,0.050028515,0.000028515,0.020023398
2,xen-vm2,0.049899969,0.000100031,0.009851864
3,xen-vm3,0.049956199,0.000043801,0.009983166
4,xen-vm4,0.049838943,0.000161057,0.009980515
1,xen-vm1,0.050005729,0.000005729,0.020190184
2,xen-vm2,0.050038574,0.000038574,0.009884709
3,xen-vm3,0.050029433,0.000029433,0.009974025
4,xen-vm4,0.050216118,0.000216118,0.010167200
1,xen-vm1,0.050031482,0.000031482,0.020005548
2,xen-vm2,0.050133608,0.000133608,0.009986835
3,xen-vm3,0.050088534,0.000088534,0.009928951
4,xen-vm4,0.049825749,0.000174251,0.009904415
1,xen-vm1,0.049819564,0.000180436,0.019999363
2,xen-vm2,0.050023258,0.000023258,0.010190529
3,xen-vm3,0.050014052,0.000014052,0.009919745
4,xen-vm4,0.049980951,0.000019049,0.009871314
1,xen-vm1,0.050163948,0.000163948,0.020182360
2,xen-vm2,0.049951619,0.000048381,0.009978200
3,xen-vm3,0.050008450,0.000008450,0.009976576
4,xen-vm4,0.050003267,0.000003267,0.009866131
1,xen-vm1,0.050008429,0.000008429,0.020187522
2,xen-vm2,0.049849578,0.000150422,0.009819349
3,xen-vm3,0.049877096,0.000122904,0.010004094
4,xen-vm4,0.049980274,0.000019726,0.009969309
1,xen-vm1,0.049831306,0.000168694,0.020038554
2,xen-vm2,0.050181278,0.000181278,0.010169321
3,xen-vm3,0.050040859,0.000040859,0.009863675
4,xen-vm4,0.050095846,0.000095846,0.010024296
1,xen-vm1,0.050261754,0.000261754,0.020204462
2,xen-vm2,0.050100451,0.000100451,0.010008018
3,xen-vm3,0.050038634,0.000038634,0.009801858
4,xen-vm4,0.050002376,0.000002376,0.009988038
1,xen-vm1,0.049927928,0.000072072,0.020130014
2,xen-vm2,0.049810122,0.000189878,0.009890212
3,xen-vm3,0.050011081,0.000011081,0.010002817
4,xen-vm4,0.050000812,0.000000812,0.009977769
1,xen-vm1,0.050058305,0.000058305,0.020187507
2,xen-vm2,0.050134064,0.000134064,0.009965971
3,xen-vm3,0.050032184,0.000032184,0.009900937
4,xen-vm4,0.050023759,0.000023759,0.009969344
1,xen-vm1,0.049933546,0.000066454,0.020097294
2,xen-vm2,0.050000476,0.000000476,0.010032901
3,xen-vm3,0.049966954,0.000033046,0.009867415
4,xen-vm4,0.049985136,0.000014864,0.009987526
1,xen-vm1,0.050178146,0.000178146,0.020290304
2,xen-vm2,0.050090925,0.000090925,0.009945680
3,xen-vm3,0.050235563,0.000235563,0.010012053
4,xen-vm4,0.050069395,0.000069395,0.009821358
1,xen-vm1,0.049993039,0.000006961,0.020213948
2,xen-vm2,0.049880940,0.000119060,0.009833581
3,xen-vm3,0.049877442,0.000122558,0.010008555
4,xen-vm4,0.050124867,0.000124867,0.010068783
1,xen-vm1,0.050067485,0.000067485,0.020156566
2,xen-vm2,0.050172864,0.000172864,0.009938960
3,xen-vm3,0.050087607,0.000087607,0.009923298
4,xen-vm4,0.050087908,0.000087908,0.010069084
1,xen-vm1,0.049978786,0.000021214,0.020047444
