entry,hostname,delta,error,lastcall

Statistics for entry 0
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)


Statistics for entry 1
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)


Statistics for entry 2
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)


Statistics for entry 3
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)


Statistics for entry 4
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)


Statistics for entry 5
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)


Statistics for entry 6
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)


Statistics for entry 7
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)


Statistics for entry 8
delta(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)
error(s): mean=0.000000000, median=0.000000000, sd=0.000000000, min=0.000000000, max=0.000000000 (0 samples)

