entry,hostname,delta,error,lastcall
1,xen-vm1,0.039912581,0.000087419,0.039912581
1,xen-vm1,0.039977033,0.000022967,0.079889614
1,xen-vm1,0.040015323,0.000015323,0.119904937
1,xen-vm1,0.039990016,0.000009984,0.159894953
1,xen-vm1,0.040005707,0.000005707,0.199900660
1,xen-vm1,0.039990709,0.000009291,0.239891369
1,xen-vm1,0.039996428,0.000003572,0.279887797
1,xen-vm1,0.040002369,0.000002369,0.319890166
1,xen-vm1,0.039994144,0.000005856,0.359884310
1,xen-vm1,0.040008148,0.000008148,0.399892458
1,xen-vm1,0.039997026,0.000002974,0.439889484
1,xen-vm1,0.039987437,0.000012563,0.479876921
1,xen-vm1,0.040002850,0.000002850,0.519879771
1,xen-vm1,0.040020491,0.000020491,0.559900262
1,xen-vm1,0.040007616,0.000007616,0.599907878
1,xen-vm1,0.039999539,0.000000461,0.639907417
1,xen-vm1,0.040001107,0.000001107,0.679908524
1,xen-vm1,0.039981821,0.000018179,0.719890345
1,xen-vm1,0.040012290,0.000012290,0.759902635
1,xen-vm1,0.040016764,0.000016764,0.799919399
1,xen-vm1,0.040011855,0.000011855,0.839931254
1,xen-vm1,0.039948660,0.000051340,0.879879914
1,xen-vm1,0.040007867,0.000007867,0.919887781
1,xen-vm1,0.039995933,0.000004067,0.959883714
1,xen-vm1,0.040003029,0.000003029,0.999886743
1,xen-vm1,0.039999615,0.000000385,1.039886358
1,xen-vm1,0.039997753,0.000002247,1.079884111
1,xen-vm1,0.040003265,0.000003265,1.119887376
1,xen-vm1,0.039997500,0.000002500,1.159884876
1,xen-vm1,0.040003439,0.000003439,1.199888315
1,xen-vm1,0.040002135,0.000002135,1.239890450
1,xen-vm1,0.039999170,0.000000830,1.279889620
1,xen-vm1,0.039997285,0.000002715,1.319886905
1,xen-vm1,0.040002026,0.000002026,1.359888931
1,xen-vm1,0.040003338,0.000003338,1.399892269
1,xen-vm1,0.039999517,0.000000483,1.439891786
1,xen-vm1,0.040002018,0.000002018,1.479893804
1,xen-vm1,0.039996872,0.000003128,1.519890676
1,xen-vm1,0.040000002,0.000000002,1.559890678
1,xen-vm1,0.040003992,0.000003992,1.599894670
