entry,hostname,delta,error,lastcall
1,xen-vm1,0.019904499,0.000095501,0.019904499
1,xen-vm1,0.020011291,0.000011291,0.039915790
1,xen-vm1,0.019999732,0.000000268,0.059915522
1,xen-vm1,0.019983043,0.000016957,0.079898565
1,xen-vm1,0.020007107,0.000007107,0.099905672
1,xen-vm1,0.020000328,0.000000328,0.119906000
1,xen-vm1,0.019987208,0.000012792,0.139893208
1,xen-vm1,0.020003320,0.000003320,0.159896528
1,xen-vm1,0.019992259,0.000007741,0.179888787
1,xen-vm1,0.020026013,0.000026013,0.199914800
1,xen-vm1,0.020020572,0.000020572,0.219935372
1,xen-vm1,0.019971863,0.000028137,0.239907235
1,xen-vm1,0.020001987,0.000001987,0.259909222
1,xen-vm1,0.019997684,0.000002316,0.279906906
1,xen-vm1,0.020007801,0.000007801,0.299914707
1,xen-vm1,0.019989172,0.000010828,0.319903879
1,xen-vm1,0.019986233,0.000013767,0.339890112
1,xen-vm1,0.020028689,0.000028689,0.359918801
1,xen-vm1,0.019988794,0.000011206,0.379907595
1,xen-vm1,0.020006588,0.000006588,0.399914183
1,xen-vm1,0.019997958,0.000002042,0.419912141
1,xen-vm1,0.020000805,0.000000805,0.439912946
1,xen-vm1,0.020001378,0.000001378,0.459914324
1,xen-vm1,0.019990483,0.000009517,0.479904807
1,xen-vm1,0.020008467,0.000008467,0.499913274
1,xen-vm1,0.020002066,0.000002066,0.519915340
1,xen-vm1,0.019997062,0.000002938,0.539912402
1,xen-vm1,0.019993996,0.000006004,0.559906398
1,xen-vm1,0.019998921,0.000001079,0.579905319
1,xen-vm1,0.020006219,0.000006219,0.599911538
1,xen-vm1,0.020001201,0.000001201,0.619912739
1,xen-vm1,0.019997096,0.000002904,0.639909835
1,xen-vm1,0.020003217,0.000003217,0.659913052
1,xen-vm1,0.019990175,0.000009825,0.679903227
1,xen-vm1,0.020007583,0.000007583,0.699910810
1,xen-vm1,0.019995683,0.000004317,0.719906493
1,xen-vm1,0.020002363,0.000002363,0.739908856
1,xen-vm1,0.020002074,0.000002074,0.759910930
1,xen-vm1,0.019993791,0.000006209,0.779904721
1,xen-vm1,0.020006967,0.000006967,0.799911688
1,xen-vm1,0.020001039,0.000001039,0.819912727
1,xen-vm1,0.019996440,0.000003560,0.839909167
1,xen-vm1,0.020001744,0.000001744,0.859910911
1,xen-vm1,0.019991981,0.000008019,0.879902892
1,xen-vm1,0.020003276,0.000003276,0.899906168
1,xen-vm1,0.020003659,0.000003659,0.919909827
1,xen-vm1,0.019997070,0.000002930,0.939906897
1,xen-vm1,0.020002514,0.000002514,0.959909411
