entry,hostname,delta,error,lastcall
1,xen-vm1,0.059903759,0.000096241,0.009872523
2,xen-vm2,0.059897888,0.000102112,0.039905296
3,xen-vm3,0.059896449,0.000103551,0.059896449
1,xen-vm1,0.059996843,0.000003157,0.069869366
2,xen-vm2,0.060035927,0.000035927,0.099941223
3,xen-vm3,0.059995968,0.000004032,0.119892417
1,xen-vm1,0.060013939,0.000013939,0.129883305
2,xen-vm2,0.059968219,0.000031781,0.159909442
3,xen-vm3,0.060002427,0.000002427,0.179894844
1,xen-vm1,0.060019536,0.000019536,0.189902841
2,xen-vm2,0.060014932,0.000014932,0.219924374
3,xen-vm3,0.060013638,0.000013638,0.239908482
1,xen-vm1,0.059995275,0.000004725,0.249898116
2,xen-vm2,0.059994048,0.000005952,0.279918422
3,xen-vm3,0.060008360,0.000008360,0.299916842
1,xen-vm1,0.060036876,0.000036876,0.309934992
2,xen-vm2,0.060018122,0.000018122,0.339936544
3,xen-vm3,0.060019411,0.000019411,0.359936253
1,xen-vm1,0.060021147,0.000021147,0.369956139
2,xen-vm2,0.060040703,0.000040703,0.399977247
3,xen-vm3,0.060041475,0.000041475,0.419977728
1,xen-vm1,0.060020270,0.000020270,0.429976409
2,xen-vm2,0.060016011,0.000016011,0.459993258
3,xen-vm3,0.060024131,0.000024131,0.480001859
1,xen-vm1,0.059933445,0.000066555,0.489909854
2,xen-vm2,0.060022758,0.000022758,0.520016016
3,xen-vm3,0.059917026,0.000082974,0.539918885
1,xen-vm1,0.060010380,0.000010380,0.549920234
2,xen-vm2,0.060019560,0.000019560,0.580035576
3,xen-vm3,0.060034571,0.000034571,0.599953456
1,xen-vm1,0.060017659,0.000017659,0.609937893
2,xen-vm2,0.059925530,0.000074470,0.639961106
3,xen-vm3,0.060004875,0.000004875,0.659958331
1,xen-vm1,0.060019877,0.000019877,0.669957770
2,xen-vm2,0.060017624,0.000017624,0.699978730
3,xen-vm3,0.060021413,0.000021413,0.719979744
1,xen-vm1,0.060020674,0.000020674,0.729978444
2,xen-vm2,0.060017206,0.000017206,0.759995936
3,xen-vm3,0.060017927,0.000017927,0.779997671
1,xen-vm1,0.060019771,0.000019771,0.789998215
2,xen-vm2,0.060026161,0.000026161,0.820022097
3,xen-vm3,0.060023520,0.000023520,0.840021191
1,xen-vm1,0.060022501,0.000022501,0.850020716
2,xen-vm2,0.060017512,0.000017512,0.880039609
3,xen-vm3,0.060021393,0.000021393,0.900042584
1,xen-vm1,0.060025339,0.000025339,0.910046055
2,xen-vm2,0.060025605,0.000025605,0.940065214
3,xen-vm3,0.060013806,0.000013806,0.960056390
1,xen-vm1,0.059999079,0.000000921,0.970045134
2,xen-vm2,0.060008877,0.000008877,1.000074091
3,xen-vm3,0.060020663,0.000020663,1.020077053
1,xen-vm1,0.060035947,0.000035947,1.030081081
2,xen-vm2,0.060023149,0.000023149,1.060097240
3,xen-vm3,0.060020173,0.000020173,1.080097226
1,xen-vm1,0.060014406,0.000014406,1.090095487
2,xen-vm2,0.060009750,0.000009750,1.120106990
3,xen-vm3,0.060015984,0.000015984,1.140113210
1,xen-vm1,0.060024414,0.000024414,1.150119901
2,xen-vm2,0.060026651,0.000026651,1.180133641
3,xen-vm3,0.060025336,0.000025336,1.200138546
1,xen-vm1,0.060013514,0.000013514,1.210133415
2,xen-vm2,0.060026820,0.000026820,1.240160461
3,xen-vm3,0.060024444,0.000024444,1.260162990
1,xen-vm1,0.060025915,0.000025915,1.270159330
2,xen-vm2,0.060019640,0.000019640,1.300180101
3,xen-vm3,0.060010792,0.000010792,1.320173782
1,xen-vm1,0.060015839,0.000015839,1.330175169
2,xen-vm2,0.060009981,0.000009981,1.360190082
3,xen-vm3,0.060024570,0.000024570,1.380198352
1,xen-vm1,0.060019773,0.000019773,1.390194942
2,xen-vm2,0.060029335,0.000029335,1.420219417
3,xen-vm3,0.060022614,0.000022614,1.440220966
1,xen-vm1,0.060027088,0.000027088,1.450222030
2,xen-vm2,0.060017645,0.000017645,1.480237062
3,xen-vm3,0.060024663,0.000024663,1.500245629
1,xen-vm1,0.060017194,0.000017194,1.510239224
2,xen-vm2,0.060020511,0.000020511,1.540257573
3,xen-vm3,0.060010188,0.000010188,1.560255817
1,xen-vm1,0.060024767,0.000024767,1.570263991
2,xen-vm2,0.060026351,0.000026351,1.600283924
3,xen-vm3,0.060029373,0.000029373,1.620285190
1,xen-vm1,0.060018308,0.000018308,1.630282299
2,xen-vm2,0.060030057,0.000030057,1.660313981
3,xen-vm3,0.060028832,0.000028832,1.680314022
1,xen-vm1,0.060015162,0.000015162,1.690297461
2,xen-vm2,0.060010326,0.000010326,1.720324307
3,xen-vm3,0.060010293,0.000010293,1.740324315
1,xen-vm1,0.060039349,0.000039349,1.750336810
2,xen-vm2,0.060015664,0.000015664,1.780339971
3,xen-vm3,0.060016260,0.000016260,1.800340575
1,xen-vm1,0.060000423,0.000000423,1.810337233
2,xen-vm2,0.060016074,0.000016074,1.840356045
3,xen-vm3,0.060018716,0.000018716,1.860359291
1,xen-vm1,0.060018248,0.000018248,1.870355481
2,xen-vm2,0.060020991,0.000020991,1.900377036
3,xen-vm3,0.060019091,0.000019091,1.920378382
1,xen-vm1,0.060021524,0.000021524,1.930377005
2,xen-vm2,0.060017539,0.000017539,1.960394575
3,xen-vm3,0.060018539,0.000018539,1.980396921
1,xen-vm1,0.060019382,0.000019382,1.990396387
2,xen-vm2,0.060022775,0.000022775,2.020417350
3,xen-vm3,0.060020860,0.000020860,2.040417781
1,xen-vm1,0.059989275,0.000010725,2.050385662
2,xen-vm2,0.060013591,0.000013591,2.080430941
3,xen-vm3,0.060010942,0.000010942,2.100428723
1,xen-vm1,0.060040297,0.000040297,2.110425959
2,xen-vm2,0.060018263,0.000018263,2.140449204
3,xen-vm3,0.060014743,0.000014743,2.160443466
1,xen-vm1,0.060019149,0.000019149,2.170445108
2,xen-vm2,0.060022030,0.000022030,2.200471234
3,xen-vm3,0.060027764,0.000027764,2.220471230
1,xen-vm1,0.060022766,0.000022766,2.230467874
2,xen-vm2,0.060012671,0.000012671,2.260483905
3,xen-vm3,0.060018181,0.000018181,2.280489411
1,xen-vm1,0.060021794,0.000021794,2.290489668
2,xen-vm2,0.060026575,0.000026575,2.320510480
3,xen-vm3,0.060021308,0.000021308,2.340510719
1,xen-vm1,0.060023331,0.000023331,2.350512999
2,xen-vm2,0.060018996,0.000018996,2.380529476
3,xen-vm3,0.060020201,0.000020201,2.400530920
1,xen-vm1,0.060015706,0.000015706,2.410528705
2,xen-vm2,0.060016439,0.000016439,2.440545915
3,xen-vm3,0.060032140,0.000032140,2.460563060
1,xen-vm1,0.060028880,0.000028880,2.470557585
2,xen-vm2,0.060026373,0.000026373,2.500572288
3,xen-vm3,0.060019958,0.000019958,2.520583018
1,xen-vm1,0.060017923,0.000017923,2.530575508
2,xen-vm2,0.060018223,0.000018223,2.560590511
3,xen-vm3,0.060009195,0.000009195,2.580592213
1,xen-vm1,0.060015164,0.000015164,2.590590672
2,xen-vm2,0.060021178,0.000021178,2.620611689
3,xen-vm3,0.060020324,0.000020324,2.640612537
1,xen-vm1,0.060025300,0.000025300,2.650615972
2,xen-vm2,0.060021003,0.000021003,2.680632692
3,xen-vm3,0.060020255,0.000020255,2.700632792
1,xen-vm1,0.060012883,0.000012883,2.710628855
2,xen-vm2,0.060018185,0.000018185,2.740650877
3,xen-vm3,0.060014094,0.000014094,2.760646886
1,xen-vm1,0.060023737,0.000023737,2.770652592
2,xen-vm2,0.060024940,0.000024940,2.800675817
3,xen-vm3,0.060027538,0.000027538,2.820674424
1,xen-vm1,0.060021751,0.000021751,2.830674343
2,xen-vm2,0.060011888,0.000011888,2.860687705
3,xen-vm3,0.060024041,0.000024041,2.880698465
1,xen-vm1,0.060020221,0.000020221,2.890694564
2,xen-vm2,0.060025208,0.000025208,2.920712913
3,xen-vm3,0.060015082,0.000015082,2.940713547
1,xen-vm1,0.060015202,0.000015202,2.950709766
2,xen-vm2,0.060023628,0.000023628,2.980736541
3,xen-vm3,0.060021704,0.000021704,3.000735251
1,xen-vm1,0.060025698,0.000025698,3.010735464
2,xen-vm2,0.060024586,0.000024586,3.040761127
3,xen-vm3,0.060022629,0.000022629,3.060757880
1,xen-vm1,0.060029034,0.000029034,3.070764498
2,xen-vm2,0.060019666,0.000019666,3.100780793
3,xen-vm3,0.060016358,0.000016358,3.120774238
1,xen-vm1,0.060011033,0.000011033,3.130775531
2,xen-vm2,0.060009154,0.000009154,3.160789947
3,xen-vm3,0.060021893,0.000021893,3.180796131
1,xen-vm1,0.060021167,0.000021167,3.190796698
2,xen-vm2,0.060021601,0.000021601,3.220811548
3,xen-vm3,0.060020992,0.000020992,3.240817123
1,xen-vm1,0.060019035,0.000019035,3.250815733
2,xen-vm2,0.060024234,0.000024234,3.280835782
3,xen-vm3,0.060017391,0.000017391,3.300834514
1,xen-vm1,0.060017826,0.000017826,3.310833559
2,xen-vm2,0.060017937,0.000017937,3.340853719
3,xen-vm3,0.060024276,0.000024276,3.360858790
1,xen-vm1,0.060022297,0.000022297,3.370855856
2,xen-vm2,0.060022707,0.000022707,3.400876426
3,xen-vm3,0.060017601,0.000017601,3.420876391
1,xen-vm1,0.060019769,0.000019769,3.430875625
2,xen-vm2,0.060021303,0.000021303,3.460897729
3,xen-vm3,0.060031921,0.000031921,3.480908312
1,xen-vm1,0.060027983,0.000027983,3.490903608
2,xen-vm2,0.060014504,0.000014504,3.520912233
3,xen-vm3,0.060007777,0.000007777,3.540916089
1,xen-vm1,0.060017994,0.000017994,3.550921602
2,xen-vm2,0.060030506,0.000030506,3.580942739
3,xen-vm3,0.060028963,0.000028963,3.600945052
1,xen-vm1,0.060016020,0.000016020,3.610937622
2,xen-vm2,0.060010201,0.000010201,3.640952940
3,xen-vm3,0.060011837,0.000011837,3.660956889
1,xen-vm1,0.060018064,0.000018064,3.670955686
2,xen-vm2,0.060020874,0.000020874,3.700973814
3,xen-vm3,0.060022510,0.000022510,3.720979399
1,xen-vm1,0.060020972,0.000020972,3.730976658
2,xen-vm2,0.060016601,0.000016601,3.760990415
3,xen-vm3,0.060017874,0.000017874,3.780997273
1,xen-vm1,0.060022156,0.000022156,3.790998814
2,xen-vm2,0.060028289,0.000028289,3.821018704
3,xen-vm3,0.060025590,0.000025590,3.841022863
1,xen-vm1,0.060019456,0.000019456,3.851018270
2,xen-vm2,0.060016581,0.000016581,3.881035285
3,xen-vm3,0.060015722,0.000015722,3.901038585
1,xen-vm1,0.060021347,0.000021347,3.911039617
2,xen-vm2,0.060019585,0.000019585,3.941054870
3,xen-vm3,0.060013584,0.000013584,3.961052169
1,xen-vm1,0.060019924,0.000019924,3.971059541
2,xen-vm2,0.060020079,0.000020079,4.001074949
3,xen-vm3,0.060029832,0.000029832,4.021082001
1,xen-vm1,0.060017965,0.000017965,4.031077506
2,xen-vm2,0.060012402,0.000012402,4.061087351
3,xen-vm3,0.060023379,0.000023379,4.081105380
1,xen-vm1,0.060027787,0.000027787,4.091105293
2,xen-vm2,0.060028583,0.000028583,4.121115934
3,xen-vm3,0.060016117,0.000016117,4.141121497
1,xen-vm1,0.060016296,0.000016296,4.151121589
2,xen-vm2,0.060025190,0.000025190,4.181141124
3,xen-vm3,0.060018444,0.000018444,4.201139941
1,xen-vm1,0.060018270,0.000018270,4.211139859
2,xen-vm2,0.060050159,0.000050159,4.241191283
3,xen-vm3,0.060051697,0.000051697,4.261191638
1,xen-vm1,0.060025027,0.000025027,4.271164886
2,xen-vm2,0.059999134,0.000000866,4.301190417
3,xen-vm3,0.059999869,0.000000131,4.321191507
1,xen-vm1,0.060020254,0.000020254,4.331185140
2,xen-vm2,0.060014117,0.000014117,4.361204534
3,xen-vm3,0.060010609,0.000010609,4.381202116
1,xen-vm1,0.060017051,0.000017051,4.391202191
2,xen-vm2,0.060017322,0.000017322,4.421221856
3,xen-vm3,0.060024922,0.000024922,4.441227038
1,xen-vm1,0.060022541,0.000022541,4.451224732
2,xen-vm2,0.060020825,0.000020825,4.481242681
3,xen-vm3,0.060023684,0.000023684,4.501250722
1,xen-vm1,0.060012170,0.000012170,4.511236902
2,xen-vm2,0.060022717,0.000022717,4.541265398
3,xen-vm3,0.060013741,0.000013741,4.561264463
1,xen-vm1,0.060020542,0.000020542,4.571257444
2,xen-vm2,0.060021867,0.000021867,4.601287265
3,xen-vm3,0.060031367,0.000031367,4.621295830
1,xen-vm1,0.060032513,0.000032513,4.631289957
2,xen-vm2,0.060012238,0.000012238,4.661299503
3,xen-vm3,0.060007725,0.000007725,4.681303555
1,xen-vm1,0.060011503,0.000011503,4.691301460
2,xen-vm2,0.060020119,0.000020119,4.721319622
3,xen-vm3,0.060020591,0.000020591,4.741324146
1,xen-vm1,0.060016059,0.000016059,4.751317519
2,xen-vm2,0.060018186,0.000018186,4.781337808
3,xen-vm3,0.060018350,0.000018350,4.801342496
1,xen-vm1,0.060018208,0.000018208,4.811335727
2,xen-vm2,0.060025799,0.000025799,4.841363607
3,xen-vm3,0.060026054,0.000026054,4.861368550
1,xen-vm1,0.060024003,0.000024003,4.871359730
2,xen-vm2,0.060014884,0.000014884,4.901378491
3,xen-vm3,0.060015083,0.000015083,4.921383633
1,xen-vm1,0.060021807,0.000021807,4.931381537
2,xen-vm2,0.060014831,0.000014831,4.961393322
3,xen-vm3,0.060018818,0.000018818,4.981402451
1,xen-vm1,0.060018244,0.000018244,4.991399781
2,xen-vm2,0.060024436,0.000024436,5.021417758
3,xen-vm3,0.060014392,0.000014392,5.041416843
1,xen-vm1,0.060018555,0.000018555,5.051418336
2,xen-vm2,0.060050841,0.000050841,5.081468599
3,xen-vm3,0.060044166,0.000044166,5.101461009
1,xen-vm1,0.060002186,0.000002186,5.111420522
2,xen-vm2,0.059996240,0.000003760,5.141464839
3,xen-vm3,0.059990198,0.000009802,5.161451207
1,xen-vm1,0.060013038,0.000013038,5.171433560
2,xen-vm2,0.060000965,0.000000965,5.201465804
3,xen-vm3,0.060016065,0.000016065,5.221467272
1,xen-vm1,0.060034121,0.000034121,5.231467681
2,xen-vm2,0.060045138,0.000045138,5.261510942
3,xen-vm3,0.060049135,0.000049135,5.281516407
1,xen-vm1,0.060032471,0.000032471,5.291500152
2,xen-vm2,0.060009877,0.000009877,5.321520819
3,xen-vm3,0.060000958,0.000000958,5.341517365
1,xen-vm1,0.060006815,0.000006815,5.351506967
2,xen-vm2,0.060008994,0.000008994,5.381529813
3,xen-vm3,0.060012732,0.000012732,5.401530097
1,xen-vm1,0.060013009,0.000013009,5.411519976
2,xen-vm2,0.060023446,0.000023446,5.441553259
3,xen-vm3,0.060016575,0.000016575,5.461546672
